CarName,fueltype,aspiration,doornumber,carbody,cylindernumber,horsepower,peakrpm,price
alfa-romero giulia,gas,std,two,convertible,four,111,5000,13495
alfa-romero stelvio,gas,std,two,convertible,four,111,5000,16500
alfa-romero Quadrifoglio,gas,std,two,hatchback,six,154,5000,16500
audi 100 ls,gas,std,four,sedan,four,102,5500,13950
audi 100ls,gas,std,four,sedan,five,115,5500,17450
audi fox,gas,std,two,sedan,five,110,5500,15250
audi 100ls,gas,std,four,sedan,five,110,5500,17710
audi 5000,gas,std,four,wagon,five,110,5500,18920
audi 4000,gas,turbo,four,sedan,five,140,5500,23875
audi 5000s (diesel),gas,turbo,two,hatchback,five,160,5500,17859167
bmw 320i,gas,std,two,sedan,four,101,5800,16430
bmw 320i,gas,std,four,sedan,four,101,5800,16925
bmw x1,gas,std,two,sedan,six,121,4250,20970
bmw x3,gas,std,four,sedan,six,121,4250,21105
bmw z4,gas,std,four,sedan,six,121,4250,24565
bmw x4,gas,std,four,sedan,six,182,5400,30760
bmw x5,gas,std,two,sedan,six,182,5400,41315
bmw x3,gas,std,four,sedan,six,182,5400,36880
chevrolet impala,gas,std,two,hatchback,three,48,5100,5151
chevrolet monte carlo,gas,std,two,hatchback,four,70,5400,6295
chevrolet vega 2300,gas,std,four,sedan,four,70,5400,6575
dodge rampage,gas,std,two,hatchback,four,68,5500,5572
dodge challenger se,gas,std,two,hatchback,four,68,5500,6377
dodge d200,gas,turbo,two,hatchback,four,102,5500,7957
dodge monaco (sw),gas,std,four,hatchback,four,68,5500,6229
dodge colt hardtop,gas,std,four,sedan,four,68,5500,6692
dodge colt (sw),gas,std,four,sedan,four,68,5500,7609
dodge coronet custom,gas,turbo,two,sedan,four,102,5500,8558
dodge dart custom,gas,std,four,wagon,four,88,5000,8921
dodge coronet custom (sw),gas,turbo,two,hatchback,four,145,5000,12964
honda civic,gas,std,two,hatchback,four,58,4800,6479
honda civic cvcc,gas,std,two,hatchback,four,76,6000,6855
honda civic,gas,std,two,hatchback,four,60,5500,5399
honda accord cvcc,gas,std,two,hatchback,four,76,6000,6529
honda civic cvcc,gas,std,two,hatchback,four,76,6000,7129
honda accord lx,gas,std,four,sedan,four,76,6000,7295
honda civic 1500 gl,gas,std,four,wagon,four,76,6000,7295
honda accord,gas,std,two,hatchback,four,86,5800,7895
honda civic 1300,gas,std,two,hatchback,four,86,5800,9095
