carlength,carwidth,carheight,curbweight,compressionratio,horsepower,peakrpm,price
168.8,64.1,48.8,2548,9,111,5000,13495
168.8,64.1,48.8,2548,9,111,5000,16500
171.2,65.5,52.4,2823,9,154,5000,16500
176.6,66.2,54.3,2337,10,102,5500,13950
176.6,66.4,54.3,2824,8,115,5500,17450
177.3,66.3,53.1,2507,8.5,110,5500,15250
192.7,71.4,55.7,2844,8.5,110,5500,17710
192.7,71.4,55.7,2954,8.5,110,5500,18920
192.7,71.4,55.9,3086,8.3,140,5500,23875
178.2,67.9,52,3053,7,160,5500,17859167
176.8,64.8,54.3,2395,8.8,101,5800,16430
176.8,64.8,54.3,2395,8.8,101,5800,16925
176.8,64.8,54.3,2710,9,121,4250,20970
176.8,64.8,54.3,2765,9,121,4250,21105
189,66.9,55.7,3055,9,121,4250,24565
189,66.9,55.7,3230,8,182,5400,30760
193.8,67.9,53.7,3380,8,182,5400,41315
197,70.9,56.3,3505,8,182,5400,36880
141.1,60.3,53.2,1488,9.5,48,5100,5151
155.9,63.6,52,1874,9.6,70,5400,6295
158.8,63.6,52,1909,9.6,70,5400,6575
157.3,63.8,50.8,1876,9.41,68,5500,5572
157.3,63.8,50.8,1876,9.4,68,5500,6377
157.3,63.8,50.8,2128,7.6,102,5500,7957
157.3,63.8,50.6,1967,9.4,68,5500,6229
157.3,63.8,50.6,1989,9.4,68,5500,6692
157.3,63.8,50.6,1989,9.4,68,5500,7609
157.3,63.8,50.6,2191,7.6,102,5500,8558
174.6,64.6,59.8,2535,8.5,88,5000,8921
173.2,66.3,50.2,2811,7,145,5000,12964
144.6,63.9,50.8,1713,9.6,58,4800,6479
144.6,63.9,50.8,1819,9.2,76,6000,6855
150,64,52.6,1837,10.1,60,5500,5399
150,64,52.6,1940,9.2,76,6000,6529
150,64,52.6,1956,9.2,76,6000,7129
163.4,64,54.5,2010,9.2,76,6000,7295
157.1,63.9,58.3,2024,9.2,76,6000,7295
167.5,65.2,53.3,2236,9,86,5800,7895
167.5,65.2,53.3,2289,9,86,5800,9095
175.4,65.2,54.1,2304,9,86,5800,8845
175.4,62.5,54.1,2372,9,86,5800,10295
175.4,65.2,54.1,2465,9,101,5800,12945
169.1,66,51,2293,9.1,100,5500,10345
170.7,61.8,53.5,2337,8.5,78,4800,6785
155.9,63.6,52,1874,9.6,70,5400,8916.5
155.9,63.6,52,1909,9.6,70,5400,8916.5
172.6,65.2,51.4,2734,9.2,90,5000,11048
199.6,69.6,52.8,4066,8.1,176,4750,32250
199.6,69.6,52.8,4066,8.1,176,4750,35550
191.7,70.6,47.8,3950,11.5,262,5000,36000
159.1,64.2,54.1,1890,9,68,5000,5195
159.1,64.2,54.1,1900,9,68,5000,6095
159.1,64.2,54.1,1905,9,68,5000,6795
166.8,64.2,54.1,1945,9,68,5000,6695
166.8,64.2,54.1,1950,9,68,5000,7395
169,65.7,49.6,2380,9.4,101,6000,10945
169,65.7,49.6,2380,9.4,101,6000,11845
169,65.7,49.6,2385,9.4,101,6000,13645
169,65.7,49.6,2500,9.4,135,6000,15645
177.8,66.5,53.7,2385,8.6,84,4800,8845
177.8,66.5,55.5,2410,8.6,84,4800,8495
177.8,66.5,53.7,2385,8.6,84,4800,10595
177.8,66.5,55.5,2410,8.6,84,4800,10245
177.8,66.5,55.5,2443,22.7,64,4650,10795
177.8,66.5,55.5,2425,8.6,84,4800,11245
175,66.1,54.4,2670,8,120,5000,18280
175,66.1,54.4,2700,22,72,4200,18344
190.9,70.3,56.5,3515,21.5,123,4350,25552
190.9,70.3,58.7,3750,21.5,123,4350,28248
187.5,70.3,54.9,3495,21.5,123,4350,28176
202.6,71.7,56.3,3770,21.5,123,4350,31600
202.6,71.7,56.5,3740,8.3,155,4750,34184
180.3,70.5,50.8,3685,8.3,155,4750,35056
208.1,71.7,56.7,3900,8,184,4500,40960
199.2,72,55.4,3715,8,184,4500,45400
178.4,68,54.8,2910,8,175,5000,16503
157.3,64.4,50.8,1918,9.4,68,5500,5389
157.3,64.4,50.8,1944,9.4,68,5500,6189
157.3,64.4,50.8,2004,9.4,68,5500,6669
157.3,63.8,50.8,2145,7.6,102,5500,7689
173,65.4,49.4,2370,7.5,116,5500,9959
173,65.4,49.4,2328,8.5,88,5000,8499
